Summary,Issue Type,Description,Epic Name,Epic Link,Labels
PHASE 0 - Foundations,Epic,"Scaffold, route tree, code splitting.",PHASE 0 - Foundations,,phase-0
PHASE 1 - Backend v1,Epic,"Express + Prisma + Postgres API. Written for you; your job is to read, question and run it.",PHASE 1 - Backend v1,,phase-1
PHASE 2 - Auth & RBAC (frontend),Epic,"Axios instance, AuthContext, login, interceptors, guards, RBAC.",PHASE 2 - Auth & RBAC (frontend),,phase-2
PHASE 3 - API layer & data-fetching hooks,Epic,"Typed API modules, useFetch with abort, useReducer fetch state, four-state rendering.",PHASE 3 - API layer & data-fetching hooks,,phase-3
PHASE 4 - Recipes,Epic,"List, detail, the big useReducer form, photo upload, delete.",PHASE 4 - Recipes,,phase-4
PHASE 5 - Find recipes,Epic,"The perf-flavoured phase: debounce, transitions, URL state, pagination.",PHASE 5 - Find recipes,,phase-5
PHASE 6 - Meal plan,Epic,"Weekly grid, add-to-plan, macro totals, keyboard nav, localStorage prefs.",PHASE 6 - Meal plan,,phase-6
PHASE 7 - Todos & shopping list,Epic,"Prep-timer todos, countdown, aggregated shopping list, print view.",PHASE 7 - Todos & shopping list,,phase-7
PHASE 8 - Dashboard,Epic,"Today's panel, week-at-a-glance, suggestions.",PHASE 8 - Dashboard,,phase-8
PHASE 9 - Performance pass,Epic,"Measure first, then memo, context splitting, virtualization, boundaries, prefetch.",PHASE 9 - Performance pass,,phase-9
PHASE 10 - Stretch,Epic,"React 19 form APIs, TanStack Query, useSyncExternalStore, tests, deploy.",PHASE 10 - Stretch,,phase-10
MP-01 - Scaffold the frontend and lock the folder structure,Story,"*Concepts:* project structure, path aliases, TS config

h3. Subtasks
* {{npm create vite@latest client -- --template react-ts}} inside {{meal-planner/}}
* Install: {{react-router-dom axios antd dayjs}}
* Create the feature-first folder tree from cheatsheet section 5 - empty folders with a .gitkeep are fine
* Configure the {{@/}} path alias in both {{vite.config.ts}} and {{tsconfig.app.json}}
* {{git init}}, first commit, .gitignore covers node_modules, dist, .env

h3. Acceptance criteria
* {{npm run dev}} serves a page at localhost
* {{import x from '@/utils/foo'}} resolves - no red squiggle in VS Code, and {{npm run build}} passes
* Folder tree matches: api/ app/ components/ config/ constants/ context/ features/ hooks/ pages/ routes/ services/ types/ utils/
* {{npm run build}} produces zero TS errors

h3. Hints
The alias needs {{resolve.alias}} in Vite *and* {{paths}} in tsconfig; they are two separate systems and missing either one gives you a confusing half-working state.

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 0 - Foundations,frontend setup tooling
MP-02 - Route tree with nested layouts,Story,"*Concepts:* createBrowserRouter, layout routes, <Outlet />, NavLink

*Angular parallel:* the route array is {{Routes}}, a layout route is a parent component with {{<router-outlet>}}, {{<Outlet />}} *is* {{<router-outlet>}}.

h3. Subtasks
* {{src/app/router.tsx}} exporting a createBrowserRouter tree
* {{AppLayout}} - header + sidebar nav + <Outlet />
* Placeholder pages: Dashboard /, Recipes /recipes, Recipe detail /recipes/:id, Planner /planner, Todos /todos, Shopping /shopping, Login /login, /403, * NotFound
* {{src/constants/routes.ts}} - every path as a constant, no string literals in components
* {{<RouterProvider router={router} />}} in main.tsx

h3. Acceptance criteria
* All nine routes render their placeholder
* The sidebar highlights the active route via NavLink's isActive
* /recipes/123 renders the detail page and useParams() reads ""123""
* A junk URL like /nope renders NotFound, not a blank screen
* Nav links do not cause a full page reload (check the Network tab)

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 0 - Foundations,frontend routing
MP-03 - Route-level code splitting,Story,"*Concepts:* React.lazy, <Suspense>, bundle analysis

h3. Subtasks
* Convert every route element except the layout and Login to {{lazy(() => import(...))}}
* A real <PageSkeleton /> fallback - not a spinner, not blank
* Wrap lazy elements in <Suspense> via a small withSuspense() helper
* {{npm run build}} and read the chunk list

h3. Acceptance criteria
* dist/assets/ contains a separate JS chunk per lazy route
* Network tab (throttled to Slow 3G) shows a chunk fetched *on first navigation* to each route, not at boot
* The skeleton is visible during that fetch - no flash of blank
* Initial JS transferred is measurably smaller than before this ticket (write both numbers in the PR description)

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 0 - Foundations,frontend routing performance
MP-10 - Server scaffold,Story,"These are mine to write. Your job is to read the code, ask about anything unclear, and run it. Do not skip the reading - the frontend tickets assume you know the contract.

h3. Subtasks
* Express 5 + TS + tsx watch mode, {{server/}} folder
* Config via .env (DATABASE_URL, JWT_SECRET, PORT, CLIENT_ORIGIN)
* CORS with credentials: true, cookie-parser, JSON body limit
* {{GET /health}} -> {{{ ok: true }}}

h3. Acceptance criteria
* {{curl localhost:4000/health}} returns 200 JSON
* Server restarts on save

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 1 - Backend v1,backend
MP-11 - Prisma schema + Postgres,Story,"These are mine to write. Your job is to read the code, ask about anything unclear, and run it. Do not skip the reading - the frontend tickets assume you know the contract.

h3. Subtasks
* docker-compose.yml with Postgres 16 (or point at Homebrew Postgres)
* Full schema per Section 4 of the roadmap, reviewed by you before migrating
* {{prisma migrate dev --name init}}
* Seed script: ~40 ingredients, 8 recipes with prep items, 2 users (admin + regular)

h3. Acceptance criteria
* {{npx prisma studio}} shows seeded data
* Re-running the seed is idempotent

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 1 - Backend v1,backend database
MP-12 - Auth endpoints,Story,"These are mine to write. Your job is to read the code, ask about anything unclear, and run it. Do not skip the reading - the frontend tickets assume you know the contract.

h3. Subtasks
* POST /auth/register, POST /auth/login, POST /auth/refresh, POST /auth/logout, GET /auth/me
* Access token 15min in the JSON body; refresh token 7d in an httpOnly, sameSite cookie
* requireAuth middleware; requireRole(...roles) middleware

h3. Acceptance criteria
* Login sets the cookie and returns {{{ user, accessToken }}}
* /auth/me 401s without a token
* /auth/refresh issues a new access token from the cookie alone

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 1 - Backend v1,backend auth
MP-13 - Recipe + ingredient CRUD,Story,"These are mine to write. Your job is to read the code, ask about anything unclear, and run it. Do not skip the reading - the frontend tickets assume you know the contract.

h3. Subtasks
* GET /ingredients, GET /recipes (paginated, ?q=, ?ingredientIds=), GET /recipes/:id, POST/PUT/DELETE /recipes
* zod validation -> 422 {{{ message, errors: { field: msg } }}}
* Photo upload: POST /uploads (multer, local disk) returning a URL

h3. Acceptance criteria
* Validation failures return the 422 shape the frontend forms expect
* Delete is owner-or-admin only

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 1 - Backend v1,backend
"MP-14 - Plan, todo and aggregation endpoints",Story,"These are mine to write. Your job is to read the code, ask about anything unclear, and run it. Do not skip the reading - the frontend tickets assume you know the contract.

h3. Subtasks
* GET/POST/DELETE /meal-plan (?from=&to=)
* GET /meal-plan/macros?date= - daily macro totals computed in SQL
* GET /shopping-list?from=&to= - aggregated, deduped by ingredient + unit
* GET /todos?from=&to=, PATCH /todos/:id (toggle done)
* Todo regeneration on plan write, preserving isDone for surviving todos

h3. Acceptance criteria
* Adding a plan entry with prep items creates todos with correct dueAt
* Deleting the entry removes its *undone* todos
* Macros endpoint matches a hand-calculated example

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 1 - Backend v1,backend
MP-20 - Axios instance + token store,Story,"*Concepts:* service module, module-scoped state, why the access token is not in localStorage

h3. Subtasks
* {{src/api/axiosInstance.ts}} - baseURL from a typed config/env.ts, withCredentials: true, timeout
* {{src/services/tokenStore.ts}} - access token held in a module variable (memory), not localStorage
* {{src/api/endpoints.ts}} - URL constants

h3. Acceptance criteria
* No component imports axios directly - only {{@/api/axiosInstance}}
* A hard refresh loses the in-memory access token and the app recovers via /auth/refresh (proven in MP-23)
* You can explain in one sentence why the refresh token is an httpOnly cookie and the access token is not

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 2 - Auth & RBAC (frontend),frontend auth api-layer
MP-21 - AuthContext,Story,"*Concepts:* createContext, provider, custom consumer hook, *memoized context value*

*Angular parallel:* this is your AuthService - but unlike a service, the context value's *identity* matters. A new object every render re-renders every consumer.

h3. Subtasks
* AuthContext with {{{ user, status: 'loading' | 'authed' | 'guest', login, logout }}}
* Bootstrap effect: call /auth/me on mount, with an {{alive}} flag in the cleanup
* login / logout wrapped in useCallback
* Context value wrapped in useMemo
* useAuth() hook that throws a clear error when used outside the provider
* {{src/app/providers.tsx}} composing providers so main.tsx stays flat

h3. Acceptance criteria
* status starts as 'loading' - never 'guest' before /auth/me resolves (otherwise refresh flashes the login page)
* Calling useAuth() outside the provider throws a readable error, not ""Cannot read property of null""
* Add a console.log in a consumer: it does *not* log on unrelated parent re-renders
* Unmounting mid-request produces no ""state update on unmounted component"" warning

h3. Hints
Do the useMemo deliberately: build it *without* memoization first, watch a consumer re-render on every keystroke elsewhere, then add it. That is the lesson.

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 2 - Auth & RBAC (frontend),frontend auth hooks
MP-22 - Login page,Story,"*Concepts:* controlled inputs, submit lifecycle, finally, redirect-back

h3. Subtasks
* Controlled email + password form, client-side validation before the network call
* submitting state guarding double-submit, reset in finally
* Server field errors (422) mapped onto the inputs
* On success redirect to location.state.from if present, else /
* Logout button in the header

h3. Acceptance criteria
* Double-clicking Submit fires exactly one request (verify in the Network tab)
* A failed login re-enables the button - the finally path is exercised
* Wrong password shows the server's message, not a blank form
* Visiting /planner while logged out, then logging in, lands you back on /planner

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 2 - Auth & RBAC (frontend),frontend auth forms
"MP-23 - Interceptors: attach token, refresh on 401",Story,"*Concepts:* cross-cutting concerns, request queueing, error normalisation

*Angular parallel:* this is your HttpInterceptor - same idea, different API.

h3. Subtasks
* Request interceptor attaching {{Authorization: Bearer}}
* Response interceptor: on 401, refresh once, retry the original request
* Queue concurrent 401s so N failed requests trigger *one* refresh
* Refresh failure -> clear tokens -> redirect to /login
* Normalise all errors to {{{ status, message, fields? }}} before rejecting

h3. Acceptance criteria
* Set the access token TTL to 10s on the server, sit on a page, and watch a request 401 -> refresh -> retry -> succeed, invisibly to the user
* Fire three requests simultaneously against an expired token: exactly one /auth/refresh in the Network tab, all three succeed
* A 401 on /auth/refresh itself does not loop infinitely
* Every catch block in the app reads err.message - no err.response?.data?.message anywhere outside the interceptor

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 2 - Auth & RBAC (frontend),frontend auth api-layer
MP-24 - Route guards,Story,"*Concepts:* guards as layout routes, <Navigate>, redirect state

h3. Subtasks
* ProtectedRoute - loading -> full-page loader; guest -> {{<Navigate to=""/login"" state={{ from: location }} />}}; else <Outlet />
* Restructure the router so every private route is a child of it
* /403 page

h3. Acceptance criteria
* Logged out, every private URL redirects to /login; /login itself does not
* Hard-refreshing a private page does *not* flash the login screen before restoring the session
* The browser Back button after a guard redirect does not trap you in a loop (replace is set)

h3. Definition of done
* All acceptance criteria personally verified in the browser
* {{npm run build}} - zero TS errors
* {{npm run lint}} - zero warnings (incl. react-hooks/exhaustive-deps; if disabled, comment why on that line)
* Loading / error / empty / success all render, if the ticket touches data
* Every effect that subscribes, unsubscribes
* Every fetch is abortable
* No index keys on dynamic lists
* A note in LEARNING.md - the concept, the Angular equivalent, and the one thing that surprised you",,PHASE 2 - Auth & RBAC (frontend),frontend auth routing
